Sirpca,Turkce
Cvekla,Pancar / Turp (sebze)
Cvijeće,Çiçekler
Cvijet,Çiçek
Cvjetaju,Çiçek açıyorlar
Cvjetati,Çiçek açmak (fiil)
Čaj,Çay
Čaja,Çayın / Çaydan (genitiv)
Čajevi,Çaylar
Čajna,Çay odası
Čak,Eşit
Čamac,Sandal
Čamcem,Sandalla (instrumental)
Čanak,Çanak
Čari,Takılar
Čarobne,Büyülü
Čarobno,Büyülü / Sihirli / Harika
Čarolija,Büyü / Sihir
Čarolije,Büyüler / Sihir / Büyü (genitiv)
Čaroliju,Hece
Čaršaf,Çarşaf
Čas,Ders (eğitim) / Saat (zaman dilimi)
Časa,Saat (genitiv)
Časova,Derslerin / Saatlerin (genitiv)
Časove,Dersleri / Saatleri
Časovi,Saatler
Časovnicima,Saatler
Časovnika,Saatin (genitiv)
Čast,Onur
Čaša,Bardak / Kadeh
Čaše,Kadeh / Bardak (genitiv)
Čaši,Gözlük
Čega,Ne / Neyin / Neden / Ne için (genitiv) (zamir)
Čega moramo,Ne yapmalıyız
Ček-inu,Check-in'e / check-in işlemine (dativ)
Čeka,Bekliyor (o)
Čekaju,Bekliyorlar (onlar)
Čekajući,Beklemek
Čekam,Bekliyorum
Čekamo,Bekliyoruz (biz)
Čekamo vas,Sizi bekliyoruz
Čekati / Čekajte,Beklemek (fiil)
Čekić,Çekiç
Čelik,Çelik
Čelo,Alın
Čelu / Čelo,Alın
Čelu liste,Listenin başında
Čemu,Neye / neyin içinde / Neye göre / Neyin üzerinde / hangi durumda
Čest,Yaygın
Čestita,Tebrik eder / Kutlar (o) 
Čestitam,Kutlarım / Tebrik ederim (ben)
Čestitamo,Kutlarız / Tebrik ederiz (biz)
Čestitati,Tebrik etmek / Kutlamak (fiil)
Čestitka,Kutlama / Tebrik
Čestitke,Tebrikler
Često,Sık sık / Çoğunlukla / Düzenli olarak
Češka,Çek Cumhuriyeti / Çekya
Češke,Çekya
Češkim,Çek / Çekya
Češljaju se,Saçalrını tararlar (onlar)
Češljati se,Saç taramak (fiil)
Četiri,Dört (sayı)
Četnici,Çetnikler
Četrovsjed,Dört ayaklı
Četverac,Dörtlü
Četvorodjelni,Dört parçalı
Četvrtak,Perşembe (Gün)
Četvrtasti / Kvadrata / Kvadratnom,Kare
Četvrtkom,Her perşembe / Perşembe günleri
Četvrtom,Dördüncü
Čičimak,Acı biber
Čija,Kimin (kadın) (soru)
Čije,Kimin (nötr) (soru)
Čijem,Kimin
Čiji,Kimin (erkek) (soru)
Čim,En kısa zamanda
Čime,Neyle / Hangi araçla (soru) (zamir)
Čin,Davranmak
Čini,Görünüyor (o)
Činiti (II),Yapmak (fiil) (soyut)
Činiti se,Görünmek / Öyle gelmek / izlenim yaratmak (fiil)
Činjenice,Gerçekler
Činjenicu / Realnom,Gerçek
Čips,Patates cipsi / Patates kızartması
Čist,Temiz (erkek) (tekil)
Čista,Temiz (kadın) (tekil)
Čistim,Temizlemek (ben)
Čistiti,Temizlemek / Temizlik yapmak (fiil)
Čisto,Temiz (sıfat) (nötr)
Čistu,Temizi / Temiz olanı (kadın)
Čišćenje ,Temizlik Yapma / Temizleme (tekil) (nötr)
Čišćenje / Čistoća,Yıkama / Temizleme / Temizlik
Čitaj,Oku (emir) (sen)
Čitajte,Okuyun (emir) (siz)
Čitaju,Okuyorlar (onlar)
Čitam,Okuyorum (ben)
Čitamo,Okuyoruz (biz)
Čitaoc,Okuyucu
Čitati,Okumak (fiil)
Čitavog,Bütün / Tüm (erkek) (genitiv)
Čitavom,Bütün / Tüm (erkek) (nötr)
Čiviluk,Şapka askısı
Čiviluk,Şapka askısı / Vestiyer
Čizama,Çizmelerin (genitiv)
Čizma,Çizme (kadın)
Čizmama,Çizmelere (dativ) / Çizmeler ile (instrumental)
Čizme,Çizme / Bot (çoğul)
Čizmi,Çizmeye (dativ)
Čizmom,Çizme ile (instrumental)
Čizmu,Çizmeyi
Član,Üye / Madde (erkek)
Članica,Üye (kadın)
Članice / Člantsva / Pripadnicama / Pripadnicima / Članovi / Članovima / Članova,Üyeler
Članovi,Üyeler
Članovima,Üyelerle (instrumental)
Članske karte,Üyelik kartları
Članstva,Üyelik (genitiv)
Članstvo,Üyelik (nötr) / Üyeliği
Članstvu,Üyeliğe doğru (dativ)
Čokolade,Çikolatalar
Čokoladica,Şeker kutusu
Čorape,Çorap
Čovek,İnsan / Adam / Kişi
Čoveka,Insanı / adamı (akuzativ)
Čovjek,Insan / adam
Čovjekom,adamlarla / Adamla / İnsanla / İnsanlarla (instrumental)
Čuje,Duyuluyor (o)
Čujemo se,Haberleşiriz
Čujete,Duyarsın
Čuli,Duyulmuş
Čunj,Koni
Čupavci,Püsküllü
Čuti,Duymak (fiil)
Čuva,Tutar
Čuvenu,Ünlü / Meşhur (Akuzativ)
Čvrst,Sağlam / Güçlü
Čvrsto,Kesin olarak / Kararlılıkla / Sağlam şekilde
čišćenja,Temizlik yapma / Temizleme / Temizlikler (çoğul)
Ćao,Selam / Hoşçakal
Ćašu,Sohbet
Će (II),Gelecek zaman yardımcı bağlaç -ecek / -acak
Će biti,Olacak (gelecek)
Će biti zatvoren,Kapatılacak (gelecek)
Će uvijek biti tu,Her zaman orada olacak
Ćebe,Battaniye (gündelik kullanım)
Ćelija,Hücre
Ćemo,-acağız / -eceğiz (gelecek)
Ćerka,Kız evlat / Kız çocuk
Ćerku,Kızı (akuzativ)
Ćerku,Kızını (akuzativ)
Ćeš,Olacaksın
Ćete,Yapacaksınız (siz) (gelecek)
Ćevapčići,Köfteli yemek (köfteler daha küçük)
Ćevapi,Köfteli yemek / Köfte / Izgara köfte (nötr) (çoğul)
Ćlanstvu / Ćlanstvo / Ćlanske,Üyelik
Ćošak,Köşe
Ću,-eceğim / -acağım (ben) (gelecek zaman)
Ću održati,Tutacağım
Ćumur,Odun kömürü
Dıvno,Harika / Güzel (nötr)
Da,Evet / Hadi
Da bi,Için (bağlaç)
Da bi saznao ,Öğrenmek için
Da ih probam,Onları denemek
Da li,Var mı ? / Acaba gibi soru anlamı verir 
Da li neko zna šta se tačno desilo,Tam olarak ne olduğunu bilen var mı
Da li ste kombinovati sir i vino,Peynirle şarabı birleştirir misiniz?
Da li ste se ikada zapitali,Hiç merak ettin mi
Da li znaš recept,Tarifi biliyor musun?
Da provodim,Geçirmeyi / Vakit geçirmeyi
Da radi,Yapması / Yapar (o)
Da radite,Yapmanız / Yaparsınız (siz)
Da stignem,Varmak / Ulaşmak
Daha,Nefes
Dahnuti,Nefes almak / Nefes vermek (fiil) (bir defa)
Daidža,Dayı (bazı bölgeler)
Daj,Ver (emir) (sen)
Daje,veriyor  (o)
Dajemo,Veriyoruz
Dajte,Verin / İzin verin (emir) (siz)
Dakle,Yani / Öyleyse / Sonuç olarak / Dolayısıyla (bağlaç)
Dala,Verdi (geçmiş)
Daleko,Uzak
Dalmatinac ,Dalmaçyalı
Dalje,Daha öte / Daha fazla / Devam / Ötesi / Hala
Daljeg,Daha fazla / İlerideki / İleri düzeyde (erkek)
Daljem,Daha İleri / Daha fazla (sıfat) (dativ) (lokativ)
Dalji,İleri / Daha fazla (sıfat)
Daljim,Sonraki / Daha ileri
Daljnjeg,Bir sonraki / Daha ileri / Daha ötesi (erkek) (genitiv)
Daljnji,Ileriki / Sonraki / Daha ileri (sıfat)
Damama,Bayanlar
Dame ,Hanımlar / Bayanlar
Dan,Gün
Dan danas,Günden güne
Dan oslobođenja Cetinja ,Çetinje kurtuluş günü
Dan Prijestonice,Başkent Günü (13 Kasım)
Dana (I),Günün / Günlerin (ilgi hali)
Dana (II),Dana / Buzağı
Dana žalosti,Yas günü nedeniyle
Danas,Bugün
Današnje,Bugünkü (nötr tekil) (kadın çoğul)
Današnjem,Bugünkü
Današnji,Bugünkü (erkek) (çoğul)
Dani,Günler
Dani ljubavi,Sevgililer günü
Dani u sedmici,Haftanın günleri
Danima,Günlerce / Günlerdir (instrumental)
Danom,Güne göre
Danu,Güne
Dao,Verildi
Dar,Hediye (özel ve anlamlı hediye)
Darujemo,Hediyeler veriyoruz
Dati,Vermek (fiil)
Datum,Tarih
Datum dospijeća,Vade tarihi / Son ödem tarihi
Datum izvršavanja,İşlem tarihi
Datum knjiženja,Muhasebe kaydının tarihi / İşleme giriş tarihi
Datum pripreme izvještaja,Raporun hazırlanma tarihi
Datume,Tarihleri (akuztiv)
Datumi,Tarihler
Davanje,Verme
Davati ,Vermek (fiil)
Davno,Uzun zaman önce
Debeo,Kalın / Şişman / Kilolu
Dece,Çocuklar (Sırpça)
Decembar,Aralık (ay)
Decembarski ,Aralık ayına ait
Decembra,Aralık 'ta (genitiv)
Decenija,On yıl
Decenije,On yıl / On yıllık süre Yılların (genitiv)
Deficit,Açık / Bütçe açığı
Definitivno,Kesinlikle
Degustacija,Tatma
Degustirati,Tatmak (şarap)
Dejt,Buluşma
Dekan,Dekan
Dekanom,Dekanla / Dekan ile
Dekanter / Bokal,Sürahi
Dekle,Kız / Köylü kızı / Hizmetçi kız
Dekoracije,Dekorasyonlar
Dekorativni,Dekoratif
Delatnosti,Faaliyetler (kadın)
Delikates,Incelik
Delikatese,Lezzetler
Delikatesi,Lezzetler / Özel yiyecekler
Delimano,Kısmen
Delišes,Lezzetli
Deliti,Paylaşmak (fiil)
Delovanje,Faaliyet / Hareket
Demokrate,Demokratlar (siyasi parti)
Demokratska,Demokratik
Demokratske / Demokratsko / Demokratska / Demokratskog,Demokratik
Demokratske Partije Socijalista,Demokratik Sosyalist Parti (siyasi)
Depolitizacija,Depolitizasyon
Depozit,Mevduat
Depozita,Mevduat (genitiv)
Deset,On (sayı)
Desetina,Onlarca (sayı)
Desilo,Oldu / Meydana geldi
Desiti se,Olmak / Gerçekleşmek (fiil)
Desktopu,Masaüstüne (bilgisayar) (lokativ)
Desno,Sağda / Sağa / Sağa doğru / Sağ taraf (Yön)
Destilata,Damıtılmış
Destinacija,Destinasyon / varış noktası (akuzativ)
Destinaciji,Destinasyona / Destinasyonda (dativ) 
Destinaciju,Varış noktası / Destinasyon
Dešavanja,Olaylar / Gelişmler (genitiv)
Detalj,Ayrıntı / Detay
Detalja,Detayın / Detayların (genitiv)
Detaljan,Detaylı / Ayrıntılı (erkek)
Detaljan program,Detaylı program
Detalje,Detayları
Detalji,Detaylar (erkek)
Detaljima,Detaylara / Detaylarda / Detaylarla 
Detaljna,Detaylı / Ayrıntılı (kadın)
Detaljni,Detaylı / Ayrıntılı (çoğul) (erkek)
Detaljno,Detaylı / Ayrıntılı (nötr)
Dete,Çocuk
Detekciju,Tespit etme
Detektor,Dedektör
Deterdžent,Deterjan
Devet,Dokuz (sayı)
Deveta,Dokuzuncu
Deveto / Deveti,Dokuzuncu
Dezena,Desen / Model
Dezertni,Tatlı / Tatlıya ait (erkek)
Dezertno,Tatlı / Tatlya ait (nötr)
Didaktičku,Didaktik
Digitalizacija,Dijitalleşme
Digitalizaciji,Dijitalleşmeye (dativ)
Digitalni,Dijital
Dijalog,Diyalog (erkek)
Dijaloga,Diyalog (çoğul) (genitiv)
Dijaloge,Diyalogları (akuzativ)
Dijalogu,Diyaloğa (dativ)
Dijaspora,Diyaspora
Dijasporom,Diyaspora (instrumental)
Dijel,Hisse
Dijela,Bölümden (genitiv)
Dijeli,Hisseler
Dijelimo,Paylaşıyoruz
Dijeliti,Bölüşmek / Paylaşmak (fiil)
Dijelu,Bölgeye / Bölgede (dativ)
Dijete,Çocuk (Hırvatistan) (Bosna)
Dim,Duman
Dima,Sigara içmek
Dimenzije,Boyutlar
Dimljena,Füme / Tütsülenmiş (kadın)
Dimljeni,Füme / Tütsülenmiş (erkek)
Dimljeni juneći but,Füme sığır but
Dimljeno,Füme
Dinamičan,Dinamik / Hareketli / Enerjik (erkek)
Dinamična,Dinamik / Hareketli / Enerjik (kadın)
Dinamiku,Dinamikler
Dinja,Kavun (meyve)
Dio,Parça / Bölüm / Kısım
Dionica,Bölüm / Kesim (kadın)
Diplomata,Diplomat (kadın) (erkek)
Diplomatskog / Diplomatske,Diplomatik
Diplomatskog kora,Diplomatik birlik
Direkcije,Müdürlük
Direktna,Doğrudan
Direktor,Direktor / Müdür
Direktorat,Direktörlük / Müdürlük
Direktorat za upravne poslove,İdari İşler Müdürlüğü
Direktorica,Müdür  (kadın)
Direktoricu,Müdür
Direktorka,Müdür (kadın)
Disati,Nefes almak / nefes vermek (fiil) (sürekli)
Diseldorfu,Düsseldorf
Diskont,Indirim
Diskonti ,İndirim mağazaları
Diskontu,İndirim mağazası (lokativ) (erkek)
Diskoteka,Disko
Diskoteku,Diskoya
Diskreditacije,İtibarsızlaştırma (genitiv)
Diskriminacija,Ayrımcılık
Diskriminacije,Ayrımcılığın (genitiv)
Diskusiji,Tartışma
Dispenzerom,Dağıtıcı
Diši,Nefes al / rahatla (sen) (emir)
Divan,Harika / Güzel (sıfat) (erkek)
Divna,Harika / Güzel (kadın) (nötr)
Divnih,Müthiş / Harika / Güzel
Divnom,Harika / Güzel
Dizajn,Tasarım
Dizajneri,Tasarımcılar (erkek)
Dizajniran,Tasarlandı
Dizati,Kaldırmak (fiil)
Djeca,Çocuklar (Hırvatistan) (Bosna)
Djece,Çocukların (genitiv) 
Djecu,Çocukları (akuzativ)
Dječak,Erkek çocuk
Dječiji,Çocuklara ait / Çocuklara özgü
Dječje,Çocuklara ait
Dječji,Çocuğa ait
Dječu,Çocukları (akuzativ)
Djed,Büyük baba / Dede
Djeda Mraz,Noel baba
Djelatnost,Aktivite
Djelatnosti,Aktiviteler
Djelo,Senet
Djelova / Djelovi / Djelove / Komade,Parçalar
Djelovanja,Eylemler / Faaliyetler (resmi /akademik / politik)
Djelovanje,Hareket / Faaliyet (nötr)
Djelovanju,Eylemde / Faaliyette (erkek)
Djelovati,Etki etmek / Faaliyette bulunmak (fiil)
Djelove,Kısımları / Parçaları / Bölümleri (akuzativ)
Djelovi,Bölümler / Parçalar
Djelovima,Bölümlere / Parçalara / Kısımlarla (dativ) (instrumental)
Djelu,Çalışırlar
Djeluje,Etki ediyor (o)
Djetelom,Çocuğumla
Djeteta,Çocuğun
Djevičansko,Natürel / İşlenmemiş
Djevojčica,Küçük kız çocuk / Kız bebek
Djevojka,Kız / Genç kız / Sevgili
Dlačica,Küçük kıl / İnce tüy
Dnevna,Günlük / Gündüzle ilgili
Dnevna rutina,Günlük rutin
Dnevna soba,Oturma odası
Dnevna svetlost,Gün ışığı
Dnevne,Günlük
Dnevnik,Günlük / Günce / TV ana haber bülteni
Dnevno,Günlük / Günde
Do,-e/a kadar anlamı veren (edat) (bitiş)
Do (II),Yanında / Kenarında / Yakınında (edat)
Do isteka zaliha,Stoklarla sınırlıdır
Do mora,Denize
Do vas,Yanınızdaki / size yakın olan
Do zalaska sunca,Gün batana dek
Doba,Zaman / Dönem / Mevsim / Zaman dilimi
Dobar,Iyi (erkek)
Dobar dan,İyi günler
Dobar odnos cene i kvaliteta,Iyi fiyat-kalite oranı
Dobavljač,Tedarikçi
Dobavljačima,Tedarikçilerle (instrumental)
Dobija,Alıyor (o)
Dobijaju,Alırlar
Dobijanje,Edinme
Dobijaš,Anladın
Dobijate,Alırsın
Dobila,Aldım / Kabul ettim (dişi) (ben) (geçmiş)
Dobili,Aldık (geçmiş)
Dobio,Aldım / Kabul ettim (erkek) (ben) (geçmiş)
Dobio,Aldı / Kazandı / Elde etti (geçmiş)
Dobio sam,Aldım 
Dobiti,Elde etmek / Almak / Kazanmak (fiil)
Dobitnicima,Kazananlara (erkek) (dativ)
Dobitnik,Ödül kazanan kişi
Dobitnika,Kazananların / Ödül alanların (genitiv) (erkek)
Dobra,Iyi (kadın)
Dobre,İyi (çoğul) (kadın)
Dobre vijesti,Güzel haberler
Dobri,Iyi (çoğul) (erkek)
Dobrih / Dobre,Iyi olanlar
Dobrim,Iyi (dativ) (çoğul)
Dobro (nötr),İyi
Dobro jutro,Günaydın
Dobro sam,Ben iyiyim / iyiyim
Dobro veče,İyi akşamlar
Dobrodošli,Hoşgeldin(iz)
Dobrodošlice,Hoşgeldiniz (çoğul)
Dobrog,Iyi
Dobrosusjedska,Iyi komşuluk
Dobrosusjedske,Iyi komşuluk (kadın) (genitiv) (sıfat)
Dobrosusjedskih,İyi komşuluk
Dobrovoljno,Gönüllü olarak
Dobru,Iyi (kadın)
Dočarati,Canlandırmak
Dočekaju,Beklerler
Dočekala,Karşıladı (geçmiş)
Dočekamo,Karşılarız (biz)
Dočekati,Karşılamak (fiil)
Dočekivati,Karşılamak / Ağırlamak (fiil)
Dočekuju,Karşılıyorlar / Ağırlıyorlar (onlar)
Doći,Gelmek (fiil) (tamamlanmış)
Dodaci,Ekler
Dodaj,Ekle / İlave et (emir) (sen)
Dodamo,Hadi ekleyelim
Dodao,Ekledi (geçmiş)
Dodatak,Ek / Katkı / İlave / Destek (erkek)
Dodataka,Aksesuarlar
Dodati,Eklemek / ilave etmek (fiil) (tek seferlik)
Dodatke,Ekleri / İlaveleri
Dodatna,ek (dişi) (nominativ) (tekil)
Dodatne,Ek (kadın) (nominativ)
Dodatni,Ek (erkek) (çoğul) (nominativ)
Dodatnih,Ek (erkek) (çoğul) (nominativ) (akuzativ)
Dodatno,Ek / ekstra (nötr) (nominativ) (akuzativ)
Dodatnom,Ek (erkek) (nötr)
Dodatnu,Ek / İlave (kadın) (akuzativ)
Dodavati,Eklemek (fiil) (süreklilik)
Dodijeliti,Vermek / Takdim etmek (fiil)
Dodijeljena,Verildi / Takdim edildi (geçmiş)
Dodjela,Dağıtım / Verilme
Dodjeli,Ödül verme / Tahsis etme
Dođe,gelsin (o)
Dođem,Gidiyorum (ben)
Dođi,Gel (sen) (emir)
Dođi ovamo,Buraya gel
Dođite,Gelin (siz) (emir)
Događaj,Etkinlik  / Olay
Događaje,Olaylar
Događaju,Olaya / Olayda (lokativ) (erkek)
Dogodila,Meydana geldi (geçmiş)
Dogodilo,Gerçekleşti / Oldu (geçmiş)
Dogoditi se,Gerçekleşmek / Meydana gelmek (fiil)
Dogovor,Anlaşma
Dogovoreno,Anlaştık
Dohodak,Gelir / Kazanç
Dohvaćati,Yakalamak / Gidip getirmek
Dojke,Göğüsler / Memeler
Dok,İken / Sırada / Sırasında / Esnasında / Boyunca / Süresince (bağlaç)
Dokazali,Kanıtlanmış
Dokazi,Deliller
Dokle,Nereye kadar (soru)
Doktor,Doktor (erkek)
Doktora,Doktorun / Doktoru
Doktore,Doktor (seslenme hali)
Doktorica,Doktor (kadın)
Doktorka,Doktor (kadın)
Doktoru,Doktora (dativ)
Dokument,Belge / Doküman
Dokumenta,Belgeler
Dokumentacija,Belgeler
Dokumentacije Komisije,Komisyon belgeleri (genitiv)
Dolaska,Varış
Dolasku,Gelişe / Geldiğinde / Geldikten sonra (dativ) (akuzativ)
Dolazak,Varış / Geliş (erkek)
Dolaze,Geliyorlar (onlar)
Dolazi,Geliyor (o)
Dolazi uskoro,Yakında gelecek
Dolazilo,Geliyordu
Dolazim,Geliyorum (ben)
Dolazimo,Geliyoruz (biz)
Dolaziti,Gelmek (fiil)
Dole,Aşağı / Aşağıya / Altta (zarf)
Dolina,Vadi
Dolini,Vadiler
Dom,Ev / Yuva
Dom zdravlja,Sağlık merkezi / Sağlık ocağı / Poliklinik
Doma,Evin / Meclisin (genitiv)
Domaća,Yerel / Ev yapımı (kadın)
Domaće,Yerel / Yerli / Ev Yapımı (nötr) (çoğul)
Domaće tržište,Iç pazar
Domaćem,Yerel / iç / Ulusal
Domaćem,Yerli / İç
Domaći,Yerel / Ev yapımı / Yerli (erkek)
Domaćica,Ev hanımı
Domaćinstva,Hane halkı
Domaćinstvo,Hane / Ev halkı / Ev idaresi (genitiv)
Domaćinstvu,Haneye / Ev halkına
Domaću,Yerel / Ev Yapımı (kadın)
Domaću kafu,Türk Kahvesi / Ev yapımı kahve
Domen,Alan / Kapsam
Domenu,Alanında / Kapsamında (lokativ)
Dominantan karakter ,Baskın karakter
Dominira,Baskın / Hakim (o)
Dominiraju,Hakim olmak
Dominirati,Baskın olmak (fiil)
Domom,Evle / Yuvayla
Donatnu,Bağış
Donese,Getirsin (o)
Donesi,Getir (sen) (emir)
Donesite,Getirin (emir) (siz)
Doneti,Getirmek (fiil)
Donijeće,Getirecek
Donijela,Karar aldı (kadın)
Donijela je,Verdi / Sundu / Yayınladı (geçmiş)
Donijeti,Getirmek / Karar almak (fiil) (Hırvatça) (Karadağça)
Donose,Getiriyorlar (onlar)
Donoseći,Getirerek
Donosi,Getiriyor (o)
Donosi,Sunuyor / Getiriyor (sana)
Donosim,Getiriyorum (ben)
Donositi,Getirmek / Sağlamak (fiil)
Donošenja,Yapma
Donja,Alt
Donji,Alt / Aşağıdaki
Donji dio tijela,Vücudun alt kısmı
Dopada,Beğenmek (o)
Dopadaju,Beğeniyorlar
Dopadati se,Hoşlanmak / Beğenmek (fiil)
Dopao,Beğendim
Doprinesemo,Katkıda bulunuyoruz
Doprinesu,Katkı yapmak
Doprinos,Katkı / Sigorta primi
Doprinosi,Katkılar / Sigorta primleri
Doprinosimo,Katıkıda bulunuyoruz / Katkı sağlıyoruz (biz)
Doprinositi,Katkıda bulunmak (fiil)
Dopunama,Eklerle / İlavelerle (instrumental) (lokativ)
Dopune,Takviyeler
Dopuni,Tamamla (sen)
Dopunite,Tamamlayın / Doldurun (siz)
Dopuniti,Doldurmak / Tamamlamak (fiil)
Doručak,Kahvaltı
Doručka,Kahvaltının / Kahvaltıdan
Doručkom,Kahvaltı ile
Doručkovati,Kahvaltı yapmak (fiil)
Doručkuje,Kahvaltı yapıyor (o)
Dosadi,Sıkılmış
Dosledne,Tutarlı
Dospijeća,Vadenin (genitiv) (nötr)
Dospijeće,Vade
Dosta,Bolca / Çokça / Yeterince (zarf)
Dostava,Teslimat / Sevkiyat
Dostavio,Sundu / Teslim etti (geçmiş)
Dostaviti,Teslim etmek / ulaştırmak (fiil) nesne/belge/mesaj iletimi
Dostavlja,Teslim eder
Dostavljanje,Teslimat süreci / Ulaştırma süreci
Dostigla,Ulaşmış
Dostojanstvo,Onur
Dostojanstvo,Onur
Dostupan,Mevcut / Erişilebilir (erkek)
Dostupna,Mevcut / Uygun / Erişilbilir / Sunulabilir (kadın)
Dostupne,Mevcut / Uygun (kadın) (genitiv) (akuzativ) (çoğul)
Dostupni,Mevcut / Ulaşılabilir (erkek)
Dostupnih,Mevcut olanların (genitiv)
Dostupno,Mecvut / Ulaşılabilir (nötr)
Dostupnog,Mevcut olanın / Ulaşılabilir olanı (erkek) (genitiv) (akuzativ)
Došao,Geldi (erkek)
Došla,Geldim (kadın) (geçmiş)
Došli,Geldiler / Geldik (geçmiş) 
Došlo,Geldi
Došlo je do greške,Bir hata oluştu
Doveli / Donio / Dovedena,Getirilmiş
Doviđenja,Hoşçakalın / Güle güle
Dovoljno,Yeterli / Yeterince / Kafi
Dovoljno snažan,Yeterince güçlü
Dovrše,Sona ermek
Dozu,Doz (kadın)
Dozvola,Izin / Ruhsat / Yapılmasına izin verilen bir eylem
Dozvolite,Izin vermek
Dozvolite mi da vam,Sana vermeme izin ver
Dozvoljen,İzin verilmiş / Serbest (sıfat)
Doživet,Yaşamak / Deneyimlemek (fiil)
Doživi,Yaşa / Deneyimle (sen)
Doživljaj,Deneyim / Macera
Draga,Sayın / Sevgili / Değerli / Canım (kadın)
Drage,Sevgili / Değerli (kadın) (çoğul)
Dragi,Sayın / Sevgili / Değerli / Canım (erkek)
Dragi posjetioci,Sevgili ziyaretçiler
Dragim,Sevgili (dativ) (çoğul)
Drago,Sayın / Sevgili / Değerli (hitap) (erkek)
Drago mi je!,Memnun oldum!
Dragocenom,Değerli olana (erkek) (nötr)
Dragu,Sevgili / Değerli (kadın)
Dramskih,Dramatik / Tiyatro ile ilgili
Drug,Arkadaş (erkek)
Druga,Diğeri
Drugačije,Farklı / Başka bir şekilde (nötr)
Drugačiji,Farklı (erkek)
Drugari,Arkadaşlar
Druge,Başkalarını
Drugi,Diğer
Drugi (II),İkinci
Drugih,Başkalarınını / Diğerlerinin (genitiv)
Drugim,Diğer (çoğul) (dativ)
Drugima,Diğerlerine
Drugo / Ostalo,Diğer
Drugog,Diğer (erkek) (nötr) (genitiv) (akuzativ)
Drugovi,Arkadaşlar (erkek)
Drugovima,Arkadaşlarıyla / Erkek arkadaşlarıyla
Drugu,Diğer (dişi) (akuzativ) (dativ)
Drugu noć ,Ikinci gece
Društva,Toplumlar / Gruplar
Društva,Toplumun / Toplumu (genitiv)
Društva jednakih šansi ,Eşit fırsatlar toplumunu
Društven,Sosyal / Toplumsal
Društvena mreža,Sosyal medya
Društveni,Toplumsal / sosyal
Društvenim,Sosyal (çoğul)
Društvenim mrežama,Sosyal medyada (lokativ) (çoğul)
Društveno,Sosyal olarak
Društvenoj / Društveni,Sosyal
Društvenu,Toplumsal (kadın) (akuzativ)
Društvenu stabilnost,Toplumsal istikrar
Društvo,Toplum / Cemiyet / Arkadaşlar / Dostlar
Društvu,Toplumda / Grupta (akuzativ)
Druželjubiv,Sıcak kanlı / Arkadaş canlısı / Sosyal (erkek)
Druželjubiva,Sıcak kanlı / Arkadaş canlısı / Sosyal (kadın)
Druženje,Sosyalleşme / Etkinlik / Buluşma / Dostluk / Eğlence
Druženju,Buluşmada / Sosyalleşmede
Družiti,Takılmak
Drvena / Drveni,Ahşap
Drvo,Ağaç
Držac,Kulp
Držanje,Bulundurma / Tutmak
Držati,Tutmak / Saklamak / Korumak / Vermek / Yürütmek (fiil)
Držati čas,Ders vermek
Držati dijetu,Diyeti sürdürmek
Držati firmu,Şirketi yönetmek
Držati govor,Konuşma yapmak
Držati ruku,Eli tutmak
Država,Devlet / Devlet (kadın)
Država ,Devlet / Ülke (kadın)
Država članica,Üye devlet
Državama,Devletlere (dativ)
Države,Devletler / Ülkeler / Devletin (genitiv)
Državi,Devlete / Devlette / Devlet içinde
Državljanin,Vatandaş
Državljanstvo,Vatandaşlık
Državljanstvo i strance,Vatandaşlık ve yabancılar
Državna,Delete ait / Resmi / Ulusal (kadın)
Državna kasa,Devlet Kasası
Državna svojina ,Devlet mülkiyeti
Državni,Devlete ait / Resmi / Ulusal (erkek)
Državni organi,Devlet kurumları
Državnih,Devletin (çoğul) (genitiv)
Državnim,Devlete / Devlet ile (dativ) (instrumental)
Državno,Devlete ait / Resmi / Ulusal (nötr)
Državno,Devlete ait / Devletle ilgili
Državnog,Devletin / Devleti (erkek) (akuzativ)
Državnoj,Devlete ait / Devletle ilgili (dativ)
Državnom,Devlet
Državnost,Devlet olma / Egemenlik
Državnosti,Devlete ait (genitiv)
Državnu,Devleti (kadın) (akuztiv)
Državu,Devleti / Ülkeyi (akuzativ)
Drže,Tutarlar / Yaparlar / Verirler
Drži,Tutma
Drži tempo,Tempo tutmak
Držim,Tutuyorum / Saklıyorum / Koruyorum (ben)
Dubaiju,Dubai'de (lokativ)
Dubina / Dubini,Derinlik
Dubine,Derinliğine
Dubo,Derin
Dubok,Derin (erkek)
Duboka,Derin (dişi)
Duboko,Derin Biçimde / Derinden / Büyük (nötr) (zarf)
Dug,Uzun (zaman/mesafe) (erkek)
Dug (II),Borç
Duga,Uzun (mesafe) (kadın)
Duga,Uzun (kadın) / Uzun (nötr) (çoğul)
Dugačak,Uzun (elbise) (erkek)
Dugačka (I),Uzun (elbise) (dişi)
Dugačka (II),Uzun (elbise) (nötr) (çoğul)
Dugačke,Uzun (elbise) (kadın) (çoğul)
Dugački,Uzun (elbise) (erkek) (çoğul)
Dugačko,Uzun (elbise) (nötr)
Duge kose,Uzun saç
Dugi,Uzun (çoğul) (erkek)
Dugim,Uzun ile / Uzunlarla (instrumental)
Dugme,Düğme
Dugo,Uzun
Dugog,Uzunun (erkek) (genitiv) (lokativ)
Dugovati,Borçlu olmak
